datetime.utc,temp,site,keep,conversion,datetime.pdt
2022-04-22 21:26,19.5,cp-high,yes,7:00,2022-04-22 14:26
2022-04-22 21:56,20.5,cp-high,yes,7:00,2022-04-22 14:56
2022-04-22 22:26,20,cp-high,yes,7:00,2022-04-22 15:26
2022-04-22 22:56,19.5,cp-high,yes,7:00,2022-04-22 15:56
2022-04-22 23:26,19.5,cp-high,yes,7:00,2022-04-22 16:26
2022-04-22 23:56,18,cp-high,yes,7:00,2022-04-22 16:56
2022-04-23 0:26,16.5,cp-high,yes,7:00,2022-04-22 17:26
2022-04-23 0:56,15,cp-high,yes,7:00,2022-04-22 17:56
2022-04-23 1:26,14,cp-high,yes,7:00,2022-04-22 18:26
2022-04-23 1:56,13,cp-high,yes,7:00,2022-04-22 18:56
2022-04-23 2:26,12,cp-high,yes,7:00,2022-04-22 19:26
2022-04-23 2:56,11.5,cp-high,yes,7:00,2022-04-22 19:56
2022-04-23 3:26,10.5,cp-high,yes,7:00,2022-04-22 20:26
2022-04-23 3:56,10,cp-high,yes,7:00,2022-04-22 20:56
2022-04-23 4:26,9.5,cp-high,yes,7:00,2022-04-22 21:26
2022-04-23 4:56,9,cp-high,yes,7:00,2022-04-22 21:56
2022-04-23 5:26,8.5,cp-high,yes,7:00,2022-04-22 22:26
2022-04-23 5:56,9,cp-high,yes,7:00,2022-04-22 22:56
2022-04-23 6:26,8.5,cp-high,yes,7:00,2022-04-22 23:26
2022-04-23 6:56,8.5,cp-high,yes,7:00,2022-04-22 23:56
2022-04-23 7:26,8.5,cp-high,yes,7:00,2022-04-23 0:26
2022-04-23 7:56,8.5,cp-high,yes,7:00,2022-04-23 0:56
2022-04-23 8:26,8.5,cp-high,yes,7:00,2022-04-23 1:26
2022-04-23 8:56,8.5,cp-high,yes,7:00,2022-04-23 1:56
2022-04-23 9:26,8.5,cp-high,yes,7:00,2022-04-23 2:26
2022-04-23 9:56,8.5,cp-high,yes,7:00,2022-04-23 2:56
2022-04-23 10:26,8.5,cp-high,yes,7:00,2022-04-23 3:26
2022-04-23 10:56,8.5,cp-high,yes,7:00,2022-04-23 3:56
2022-04-23 11:26,8.5,cp-high,yes,7:00,2022-04-23 4:26
2022-04-23 11:56,8.5,cp-high,yes,7:00,2022-04-23 4:56
2022-04-23 12:26,8.5,cp-high,yes,7:00,2022-04-23 5:26
2022-04-23 12:56,8.5,cp-high,yes,7:00,2022-04-23 5:56
2022-04-23 13:26,8.5,cp-high,yes,7:00,2022-04-23 6:26
2022-04-23 13:56,8.5,cp-high,yes,7:00,2022-04-23 6:56
2022-04-23 14:26,8.5,cp-high,yes,7:00,2022-04-23 7:26
2022-04-23 14:56,8.5,cp-high,yes,7:00,2022-04-23 7:56
2022-04-23 15:26,8.5,cp-high,yes,7:00,2022-04-23 8:26
2022-04-23 15:56,9,cp-high,yes,7:00,2022-04-23 8:56
2022-04-23 16:26,9,cp-high,yes,7:00,2022-04-23 9:26
2022-04-23 16:56,9,cp-high,yes,7:00,2022-04-23 9:56
2022-04-23 17:26,9,cp-high,yes,7:00,2022-04-23 10:26
2022-04-23 17:56,9.5,cp-high,yes,7:00,2022-04-23 10:56
2022-04-23 18:26,9.5,cp-high,yes,7:00,2022-04-23 11:26
2022-04-23 18:56,9.5,cp-high,yes,7:00,2022-04-23 11:56
2022-04-23 19:26,9.5,cp-high,yes,7:00,2022-04-23 12:26
2022-04-23 19:56,10,cp-high,yes,7:00,2022-04-23 12:56
2022-04-23 20:26,10.5,cp-high,yes,7:00,2022-04-23 13:26
2022-04-23 20:56,11,cp-high,yes,7:00,2022-04-23 13:56
2022-04-23 21:26,11.5,cp-high,yes,7:00,2022-04-23 14:26
2022-04-23 21:56,17,cp-high,yes,7:00,2022-04-23 14:56
2022-04-23 22:26,19.5,cp-high,yes,7:00,2022-04-23 15:26
2022-04-23 22:56,19,cp-high,yes,7:00,2022-04-23 15:56
2022-04-23 23:26,18.5,cp-high,yes,7:00,2022-04-23 16:26
2022-04-23 23:56,17,cp-high,yes,7:00,2022-04-23 16:56
2022-04-24 0:26,17,cp-high,yes,7:00,2022-04-23 17:26
2022-04-24 0:56,16,cp-high,yes,7:00,2022-04-23 17:56
2022-04-24 1:26,15,cp-high,yes,7:00,2022-04-23 18:26
2022-04-24 1:56,14,cp-high,yes,7:00,2022-04-23 18:56
2022-04-24 2:26,13,cp-high,yes,7:00,2022-04-23 19:26
2022-04-24 2:56,12.5,cp-high,yes,7:00,2022-04-23 19:56
2022-04-24 3:26,11.5,cp-high,yes,7:00,2022-04-23 20:26
2022-04-24 3:56,10.5,cp-high,yes,7:00,2022-04-23 20:56
2022-04-24 4:26,10,cp-high,yes,7:00,2022-04-23 21:26
2022-04-24 4:56,9.5,cp-high,yes,7:00,2022-04-23 21:56
2022-04-24 5:26,10,cp-high,yes,7:00,2022-04-23 22:26
2022-04-24 5:56,9.5,cp-high,yes,7:00,2022-04-23 22:56
2022-04-24 6:26,9,cp-high,yes,7:00,2022-04-23 23:26
2022-04-24 6:56,9,cp-high,yes,7:00,2022-04-23 23:56
2022-04-24 7:26,9,cp-high,yes,7:00,2022-04-24 0:26
2022-04-24 7:56,9,cp-high,yes,7:00,2022-04-24 0:56
2022-04-24 8:26,9,cp-high,yes,7:00,2022-04-24 1:26
2022-04-24 8:56,8.5,cp-high,yes,7:00,2022-04-24 1:56
2022-04-24 9:26,8.5,cp-high,yes,7:00,2022-04-24 2:26
2022-04-24 9:56,9,cp-high,yes,7:00,2022-04-24 2:56
2022-04-24 10:26,8.5,cp-high,yes,7:00,2022-04-24 3:26
2022-04-24 10:56,8.5,cp-high,yes,7:00,2022-04-24 3:56
2022-04-24 11:26,9,cp-high,yes,7:00,2022-04-24 4:26
2022-04-24 11:56,8.5,cp-high,yes,7:00,2022-04-24 4:56
2022-04-24 12:26,9,cp-high,yes,7:00,2022-04-24 5:26
2022-04-24 12:56,9,cp-high,yes,7:00,2022-04-24 5:56
2022-04-24 13:26,9,cp-high,yes,7:00,2022-04-24 6:26
2022-04-24 13:56,9,cp-high,yes,7:00,2022-04-24 6:56
2022-04-24 14:26,9,cp-high,yes,7:00,2022-04-24 7:26
2022-04-24 14:56,9,cp-high,yes,7:00,2022-04-24 7:56
2022-04-24 15:26,9,cp-high,yes,7:00,2022-04-24 8:26
2022-04-24 15:56,9.5,cp-high,yes,7:00,2022-04-24 8:56
2022-04-24 16:26,9.5,cp-high,yes,7:00,2022-04-24 9:26
2022-04-24 16:56,9,cp-high,yes,7:00,2022-04-24 9:56
2022-04-24 17:26,9.5,cp-high,yes,7:00,2022-04-24 10:26
2022-04-24 17:56,10,cp-high,yes,7:00,2022-04-24 10:56
2022-04-24 18:26,10,cp-high,yes,7:00,2022-04-24 11:26
2022-04-24 18:56,10,cp-high,yes,7:00,2022-04-24 11:56
2022-04-24 19:26,10.5,cp-high,yes,7:00,2022-04-24 12:26
2022-04-24 19:56,10,cp-high,yes,7:00,2022-04-24 12:56
2022-04-24 20:26,10,cp-high,yes,7:00,2022-04-24 13:26
2022-04-24 20:56,9.5,cp-high,yes,7:00,2022-04-24 13:56
2022-04-24 21:26,10.5,cp-high,yes,7:00,2022-04-24 14:26
2022-04-24 21:56,11,cp-high,yes,7:00,2022-04-24 14:56
2022-04-24 22:26,11.5,cp-high,yes,7:00,2022-04-24 15:26
2022-04-24 22:56,11.5,cp-high,yes,7:00,2022-04-24 15:56
2022-04-24 23:26,12,cp-high,yes,7:00,2022-04-24 16:26
2022-04-24 23:56,12,cp-high,yes,7:00,2022-04-24 16:56
2022-04-25 0:26,12,cp-high,yes,7:00,2022-04-24 17:26
2022-04-25 0:56,11.5,cp-high,yes,7:00,2022-04-24 17:56
2022-04-25 1:26,11.5,cp-high,yes,7:00,2022-04-24 18:26
2022-04-25 1:56,11,cp-high,yes,7:00,2022-04-24 18:56
2022-04-25 2:26,11,cp-high,yes,7:00,2022-04-24 19:26
2022-04-25 2:56,10,cp-high,yes,7:00,2022-04-24 19:56
2022-04-25 3:26,10,cp-high,yes,7:00,2022-04-24 20:26
2022-04-25 3:56,10,cp-high,yes,7:00,2022-04-24 20:56
2022-04-25 4:26,9.5,cp-high,yes,7:00,2022-04-24 21:26
2022-04-25 4:56,9.5,cp-high,yes,7:00,2022-04-24 21:56
2022-04-25 5:26,9.5,cp-high,yes,7:00,2022-04-24 22:26
2022-04-25 5:56,10,cp-high,yes,7:00,2022-04-24 22:56
2022-04-25 6:26,10.5,cp-high,yes,7:00,2022-04-24 23:26
2022-04-25 6:56,9,cp-high,yes,7:00,2022-04-24 23:56
2022-04-25 7:26,9.5,cp-high,yes,7:00,2022-04-25 0:26
2022-04-25 7:56,9,cp-high,yes,7:00,2022-04-25 0:56
2022-04-25 8:26,9,cp-high,yes,7:00,2022-04-25 1:26
2022-04-25 8:56,9,cp-high,yes,7:00,2022-04-25 1:56
2022-04-25 9:26,9,cp-high,yes,7:00,2022-04-25 2:26
2022-04-25 9:56,9,cp-high,yes,7:00,2022-04-25 2:56
2022-04-25 10:26,9,cp-high,yes,7:00,2022-04-25 3:26
2022-04-25 10:56,9,cp-high,yes,7:00,2022-04-25 3:56
2022-04-25 11:26,9,cp-high,yes,7:00,2022-04-25 4:26
2022-04-25 11:56,9,cp-high,yes,7:00,2022-04-25 4:56
2022-04-25 12:26,9,cp-high,yes,7:00,2022-04-25 5:26
2022-04-25 12:56,9,cp-high,yes,7:00,2022-04-25 5:56
2022-04-25 13:26,9,cp-high,yes,7:00,2022-04-25 6:26
2022-04-25 13:56,9,cp-high,yes,7:00,2022-04-25 6:56
2022-04-25 14:26,9.5,cp-high,yes,7:00,2022-04-25 7:26
2022-04-25 14:56,9.5,cp-high,yes,7:00,2022-04-25 7:56
2022-04-25 15:26,9,cp-high,yes,7:00,2022-04-25 8:26
2022-04-25 15:56,9.5,cp-high,yes,7:00,2022-04-25 8:56
2022-04-25 16:26,9.5,cp-high,yes,7:00,2022-04-25 9:26
2022-04-25 16:56,9.5,cp-high,yes,7:00,2022-04-25 9:56
2022-04-25 17:26,10,cp-high,yes,7:00,2022-04-25 10:26
2022-04-25 17:56,10,cp-high,yes,7:00,2022-04-25 10:56
2022-04-25 18:26,10,cp-high,yes,7:00,2022-04-25 11:26
2022-04-25 18:56,10,cp-high,yes,7:00,2022-04-25 11:56
2022-04-25 19:26,10.5,cp-high,yes,7:00,2022-04-25 12:26
2022-04-25 19:56,11,cp-high,yes,7:00,2022-04-25 12:56
