illumina_sample_id,sample_id,site_id,original_sample_type,updated_sample_type,keep_samples,year,month,day,SampleID,water_type,salinity_notes,aquarium_salinity,position_of_meristem,length_cm,width_cm,fouling,bleaching,recovered_bleaching,blistering,reproductive,split,flap,holes,lab_or_field_sampled,aquarium,aquarium_day,desmerestia,spad500_reading_1,spad500_reading_2,notes,N.conduct,mean.conduct,sd.conduct,N.ph,mean.ph,sd.ph,N.temp,mean.temp,sd.temp,se.conduct,lci.conduct,uci.conduct,se.temp,lci.temp,uci.temp,se.ph,lci.ph,uci.ph
plate-1-well-3H_S48,plate-1-well-3H,gw,meristem,meristem,y,2021,6,24,meristem_3_GW,ocean,,NA,dry,33,15.5,moderate,no,n,n,,,,,field,,,,16.2,14.7,,3,27.3,0.11789826,3,8.043333,0.037859389,3,14.53333,0.28867514,0.068068593,27.166586,27.43341,0.16666667,14.206667,14.86,0.16666667,7.716667,8.37
plate-1-well-4C_S51,plate-1-well-4C,gw,meristem,meristem,y,2021,5,28,meristem_3_GW,ocean,,NA,dry,25.6,7.7,light,yes,,,,,,,field,,,,14,16.6,,3,26.25,0.1473092,3,8.156667,0.005773503,3,12.36667,0.5033223,0.085049005,26.083304,26.4167,0.29059326,11.797104,12.93623,0.29059326,7.587104,8.726229
plate-1-well-4D_S52,plate-1-well-4D,lhp,water,meristem,y,2021,4,29,water_1_LHP,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,2,25.89,0.33941126,2,7.555,0.077781746,2,11.3,0,0.24,25.4196,26.3604,0,11.3,11.3,0,7.555,7.555
plate-1-well-4H_S56,plate-1-well-4H,tb,rock,meristem,y,2021,5,28,rock_1_TB,tidepool,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,17.57667,0.1266228,3,8.153333,0.047258156,3,16.86667,0.15275252,0.073105707,17.433379,17.71995,0.08819171,16.693811,17.03952,0.08819171,7.980478,8.326189
plate-1-well-5A_S57,plate-1-well-5A,scp,meristem,meristem,y,2021,4,16,meristem_1_SCP,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,6.7,6,,3,27.19667,0.13316656,3,8.02,0.07,3,10.54333,0.05131601,0.076883751,27.045975,27.34736,0.02962732,10.485264,10.6014,0.02962732,7.96193,8.07807
plate-1-well-5B_S58,plate-1-well-5B,scp,rock,meristem,y,2021,4,16,rock_1_SCP,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,27.19667,0.13316656,3,8.02,0.07,3,10.54333,0.05131601,0.076883751,27.045975,27.34736,0.02962732,10.485264,10.6014,0.02962732,7.96193,8.07807
plate-1-well-5C_S59,plate-1-well-5C,lhp,rock,meristem,y,2021,5,27,rock_3_LHP,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,fell on counter,3,16.52667,0.09865766,3,7.823333,0.015275252,3,13.56667,0.05773503,0.056960025,16.415025,16.63831,0.03333333,13.501333,13.632,0.03333333,7.758,7.888667
plate-1-well-5E_S61,plate-1-well-5E,scp,meristem,meristem,y,2021,5,13,meristem_6_SCP,ocean,,NA,submerged,14.2,6,light,no,,,,,,,field,,,,6.9,6.4,,6,18.19833,0.38280108,6,8.188333,0.168927993,6,15.75,0.38340579,0.156277886,17.892029,18.50464,0.15652476,15.443211,16.05679,0.15652476,7.881545,8.495122
plate-1-well-5F_S62,plate-1-well-5F,tb,meristem,meristem,y,2021,4,17,meristem_5_TB,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,11.2,12,,2,29.795,0.03535534,2,8.09,0.014142136,2,14.95,0.07071068,0.025,29.746,29.844,0.05,14.852,15.048,0.05,7.992,8.188
plate-1-well-6A_S65,plate-1-well-6A,gw,meristem,meristem,y,2021,4,30,meristem_6_GW,ocean,,NA,dry,81,15.9,light,yes,,,,,,,field,,,,11.4,11.7,,3,28.06333,0.2510644,3,8.026667,0.046188022,3,10.36667,0.40414519,0.144952099,27.779227,28.34744,0.23333333,9.909333,10.824,0.23333333,7.569333,8.484
plate-1-well-6D_S68,plate-1-well-6D,lhp,meristem,meristem,y,2021,4,29,meristem_6_LHP,tidepool,,NA,submerged,8.8,21.7,severe,no,,,,,,,field,,,,12.3,12.8,,1,27.94,NA,1,7.27,NA,1,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plate-1-well-7B_S74,plate-1-well-7B,gw,meristem,meristem,y,2021,6,24,meristem_6_GW,ocean,,NA,dry,43,12,moderate,no,n,n,,,,,field,,,,11.2,12.8,,3,27.3,0.11789826,3,8.043333,0.037859389,3,14.53333,0.28867514,0.068068593,27.166586,27.43341,0.16666667,14.206667,14.86,0.16666667,7.716667,8.37
plate-1-well-7E_S77,plate-1-well-7E,scp,meristem,meristem,y,2021,6,10,meristem_3_SCP,ocean,,NA,waves,5.9,2,moderate,no,,,,,,,field,,,,19.7,17.4,,3,11.01,0.31096624,3,8.333333,0.047258156,3,15.36667,0.05773503,0.17953644,10.658109,11.36189,0.03333333,15.301333,15.432,0.03333333,8.268,8.398667
plate-1-well-7F_S78,plate-1-well-7F,lhp,rock,meristem,y,2021,6,10,rock_1_LHP,tidepool,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,10.27667,0.12897028,3,8.07,0.026457513,3,15.63333,0.61101009,0.074461026,10.130723,10.42261,0.35276684,14.94191,16.32476,0.35276684,7.378577,8.761423
